the_geom,OBJECTID,Segment_ID,StreetName,CENSUS_ID,DEPOT_NUMB,DEPOT_NAME,MOCO_MAINT,Shape_Leng,FromStreet,ToStreet,Length_1,Width,SurfaceTyp,PCI
"MULTILINESTRING ((-77.03066736978602 38.99488893919427, -77.03081518502887 38.99497916552249, -77.03093352598384 38.995052753362, -77.03111436370273 38.995224655017545, -77.03195918793452 38.99608280233096))",11009,309,2ND AVE,309,15,Silver Spring,YES,571.469320122,133 ft (0.03 Mi) W of WAYNE AVE,CAMERON ST,571.5,60,AC,83
"MULTILINESTRING ((-77.03195918793452 38.99608280233096, -77.03206831392069 38.99619680512188, -77.03232090766818 38.99650082188752, -77.03238074793204 38.99655571959559, -77.03244586638301 38.99661061547246, -77.03251714228581 38.99666550960111, -77.03260909181448 38.99672434522411, -77.03275647147026 38.996810192936934))",10677,310,2ND AVE,310,15,Silver Spring,YES,351.804038411,CAMERON ST,FENWICK LA,351.8,50,AC,79
"MULTILINESTRING ((-77.03445338462905 38.99788481929602, -77.03449782826134 38.99792822244574, -77.03460959806992 38.99803776007135, -77.03467383989263 38.99809265528746, -77.03473720211272 38.9981475503927, -77.03479264754188 38.9982024478178, -77.03484897275949 38.99825734529011, -77.03490441836026 38.99831224266097, -77.03496162345483 38.99836713947912, -77.0350192684902 38.998422036473215, -77.03507691318343 38.99847693310219, -77.0351341185432 38.99853182983412, -77.03519220369822 38.99858672660899, -77.03525072836555 38.998641622885806, -77.03530925355409 38.998696519468766, -77.03536733897819 38.99875141581862, -77.03542630377062 38.99880631187274, -77.0354843893746 38.99886120849937, -77.03554291492344 38.99891610462675, -77.03560231984332 38.99897100045662, -77.0356643644227 38.999025895787206, -77.03572552895372 38.99908079101689, -77.0357888928632 38.99913568554116, -77.03588130274805 38.999223519728545))",10636,312,2ND AVE,312,15,Silver Spring,YES,634.483687233,SPRING ST,BALLARD ST,634.5,30,AC,82.5
"MULTILINESTRING ((-77.03588130274805 38.999223519728545, -77.03596227144094 38.99930037437946, -77.03602651544473 38.99935526883826, -77.03608636139286 38.9994101642817, -77.03614532728469 38.99946505996585, -77.0362051734168 38.99951995568343, -77.03626369963152 38.99957485144277, -77.036641703469 38.99992884336386))",10519,313,2ND AVE,313,15,Silver Spring,YES,335.71955804,BALLARD ST,N SPRINGWOOD DR,335.7,30,AC,92
"MULTILINESTRING ((-77.03739684250236 39.00063648017967, -77.03751434100356 39.00074927364216, -77.03756142844065 39.000794476620975, -77.03763183949134 39.00086215270714, -77.03770225063026 39.00092974269075, -77.03777266237928 39.00099741869011, -77.037843072874 39.00106329278103, -77.03796629212114 39.00117882975718))",10358,315,2ND AVE,315,15,Silver Spring,YES,255.359621122,NOYES DR,NOYES LA,255.4,30,AC,87.5
"MULTILINESTRING ((-77.03796629212114 39.00117882975718, -77.03805430593688 39.001261600914646, -77.038124717688 39.001328847746066, -77.03819513000289 39.00139609453402, -77.0382417781522 39.001440782701955, -77.03830030751465 39.00149567742032, -77.03835883739814 39.00155057210861, -77.03843673045182 39.00162399407117))",10303,317,2ND AVE,317,15,Silver Spring,YES,210.1454732,NOYES LA,WILSON PL,210.1,38,AC,84.6199
"MULTILINESTRING ((-77.03843673045182 39.00162399407117, -77.03854718971195 39.00172838019381, -77.03859207765757 39.001770151525385, -77.03864268552172 39.00181629686068))",10250,318,2ND AVE,318,15,Silver Spring,YES,91.2767914723,WILSON PL,LEIGHTON WOOD LA,91.3,38,AC,79.7225
"MULTILINESTRING ((-77.03946035563 39.00258087264223, -77.03989779745518 39.00297927965451))",10145,319,2ND AVE,319,15,Silver Spring,YES,191.071775306,HIGHLAND DR,73 ft (0.01 Mi) SE of METRORAIL TRACK B1 RAIL,191.1,38,AC,80.3607
"MULTILINESTRING ((-77.04011834173446 39.003288953194904, -77.04036387457114 39.003447776063545, -77.04100860988189 39.004031527411996))",10052,320,2ND AVE,320,15,Silver Spring,YES,371.295523219,16TH ST,GRACE CHURCH RD,371.3,28,AC,69.677
"MULTILINESTRING ((-77.04100860988189 39.004031527411996, -77.04111071613859 39.004130594121314, -77.04115252669608 39.00417030616207, -77.04122294345295 39.00423617817483, -77.04129336043945 39.00430222159033, -77.04136377828644 39.004368779972715, -77.04146324158691 39.00445995338843, -77.04150461421345 39.004503097738414, -77.04157503235616 39.00456948420869, -77.04164545014919 39.00463578491278, -77.04180169011187 39.00478236665051))",9975,321,2ND AVE,321,15,Silver Spring,YES,354.396476502,GRACE CHURCH RD,HANOVER ST,354.4,28,AC,78.4074
"MULTILINESTRING ((-77.04291831985566 39.005904952563405, -77.0429843903337 39.00605190895401, -77.04300729697408 39.00610681434876, -77.0430284444798 39.006161720385364, -77.04304695261501 39.006216627724804, -77.04306106176968 39.0062715363436, -77.04307429157448 39.0063264452838, -77.0430875213999 39.00638135455803, -77.04310251042226 39.00643626284591, -77.04315410762337 39.00665289639771))",9763,323,2ND AVE,323,15,Silver Spring,YES,281.097732662,GLEN ROSS RD,LUZERNE AVE,281.1,28,AC,86.9133
"MULTILINESTRING ((-77.12048302378851 38.94276503420346, -77.12162331530924 38.942400644128845))",13479,8393,64TH ST,8393,14,Bethesda,YES,350.426303319,BROAD ST,RIDGE DR,350.4,24,AC,67.1861
"MULTILINESTRING ((-77.04315410762337 39.00665289639771, -77.04318100883235 39.006765717413046, -77.04319511862997 39.00682062600913, -77.04320878811407 39.00687553510166, -77.04322245804993 39.006930443855666, -77.04323612757618 39.00698535294372, -77.0432489177429 39.007040262018435, -77.0432621478353 39.00709517092846, -77.04328065639325 39.00715007822008, -77.04330444342851 39.00720498321844, -77.04337312410891 39.00730062797575, -77.04345545847795 39.00742449703447))",9697,324,2ND AVE,324,15,Silver Spring,YES,296.516386124,LUZERNE AVE,ROOKWOOD RD,296.5,24,AC,82.6791
